RESTAURANT#GENERAL	judging from previous posts this used to be a good place , but not any longer .
SERVICE#GENERAL	we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .
SERVICE#GENERAL	the staff never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .
FOOD#QUALITY	the food was lousy - too sweet or too salty and the portions tiny .
FOOD#STYLE_OPTIONS	the food was lousy - too sweet or too salty and the portions tiny .
SERVICE#GENERAL	after all that , the staff complained to me about the small tip .
RESTAURANT#GENERAL	avoid this place !
FOOD#QUALITY	i have eaten at saul , many times , the food is always consistently , outrageously good .
RESTAURANT#GENERAL	saul is the best restaurant on smith street and in brooklyn .
FOOD#QUALITY	the duck confit is always amazing and the foie gras terrine with figs was out of this world .
DRINKS#STYLE_OPTIONS	the wine list is interesting and has many good values .
DRINKS#PRICES	the wine list is interesting and has many good values .
RESTAURANT#PRICES	for the price , you can not eat this well in manhattan .
FOOD#QUALITY	for the price , you can not eat this well in manhattan .
RESTAURANT#GENERAL	i was very disappointed with this restaurant .
SERVICE#GENERAL	i ve asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .
SERVICE#GENERAL	i had to ask a cart attendant three times before a cart attendant finally came back with the dish i ve requested .
FOOD#QUALITY	food was okay , nothing great .
FOOD#QUALITY	chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .
RESTAURANT#MISCELLANEOUS	chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .
RESTAURANT#GENERAL	i / we will never go back to this place again .
RESTAURANT#GENERAL	went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !
SERVICE#GENERAL	service was devine , oysters where a sensual as oysters come , and the price ca n't be beat ! ! !
FOOD#QUALITY	service was devine , oysters where a sensual as oysters come , and the price ca n't be beat ! ! !
RESTAURANT#PRICES	service was devine , oysters where a sensual as oysters come , and the price ca n't be beat ! ! !
RESTAURANT#GENERAL	you ca n't go wrong here .
RESTAURANT#GENERAL	every time in new york i make it a point to visit restaurant saul on smith street .
