id,comment_text,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE_OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE_OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
2201,"Judging from previous posts this used to be a good place, but not any longer.",0,0,0,0,0,0,0,0,1,0,0,0
9325,"We, there were four of us, arrived at noon-the place was empty-and the staff acted like we were imposing on them and they were very rude.",0,0,0,0,0,0,0,0,0,0,0,1
1033,"The staff never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",0,0,0,0,0,0,0,0,0,0,0,1
4179,The food was lousy-too sweet or too salty and the portions tiny.,0,0,0,0,0,1,1,0,0,0,0,0
1931,"After all that, the staff complained to me about the small tip.",0,0,0,0,0,0,0,0,0,0,0,1
8117,Avoid this place!,0,0,0,0,0,0,0,0,1,0,0,0
7364,"I have eaten at saul, many times, the food is always consistently, outrageously good.",0,0,0,0,0,1,0,0,0,0,0,0
7737,Saul is the best restaurant on Smith Street and in Brooklyn.,0,0,0,0,0,0,0,0,1,0,0,0
6219,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,0,0,0,0,0,1,0,0,0,0,0,0
3439,The wine list is interesting and has many good values.,0,1,0,1,0,0,0,0,0,0,0,0
1537,"For the price, you can not eat this well in manhattan.",0,0,0,0,0,1,0,0,0,0,1,0
7993,I was very disappointed with this restaurant.,0,0,0,0,0,0,0,0,1,0,0,0
464,I ve asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,0,0,0,0,0,0,0,0,0,0,0,1
6386,I had to ask a cart attendant three times before a cart attendant finally came back with the dish I ve requested.,0,0,0,0,0,0,0,0,0,0,0,1
7090,"Food was okay, nothing great.",0,0,0,0,0,1,0,0,0,0,0,0
9952,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,0,0,0,0,0,1,0,0,0,1,0,0
34,I / we will never go back to this place again.,0,0,0,0,0,0,0,0,1,0,0,0
7297,"Went on a 3 day oyster binge, with fish bringing up the closing, and I am so glad this was the place it o trip ended, because it was so great!",0,0,0,0,0,0,0,0,1,0,0,0
4363,"Service was devine, oysters where a sensual as oysters come, and the price can't be beat!!!",0,0,0,0,0,1,0,0,0,0,1,1
3748,You can't go wrong here.,0,0,0,0,0,0,0,0,1,0,0,0
9685,Every time in new york I make it a point to visit Restaurant Saul on Smith Street.,0,0,0,0,0,0,0,0,1,0,0,0
1674,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",1,0,0,0,0,1,0,0,0,0,0,1
5200,I had the duck breast special on my last visit and it was incredible.,0,0,0,0,0,1,0,0,0,0,0,0
501,Can't wait wait for my next visit.,0,0,0,0,0,0,0,0,1,0,0,0
365,And I hate to say this but I doubt I'll ever go back.,0,0,0,0,0,0,0,0,1,0,0,0
416,"The food is very average... the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",0,0,0,0,0,1,0,0,0,0,0,0
8870,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,0,0,0,0,0,1,0,0,0,0,0,0
150,I had never had edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,0,0,0,0,0,1,1,0,0,0,0,0
6245,"The decor is night tho... but they really need to clean that vent in the ceiling... its quite un-appetizing, and kills your effort to make this place look sleek and modern.",1,0,0,0,0,0,0,0,0,0,0,0
3548,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",0,0,0,1,0,0,0,0,0,0,0,1
6915,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",0,0,0,0,0,1,0,0,0,0,0,0
475,We went around 9:30 on a friday and it had died down a bit by then so the service was great!,0,0,0,0,0,0,0,0,0,0,0,1
8644,we love th pink pony.,0,0,0,0,0,0,0,0,1,0,0,0
3632,THe perfect spot.,0,0,0,0,0,0,0,0,1,0,0,0
